user_id,name,gender,birth_date,pref,phone_number,email,email_permission_flg,registration_date,status,last_login_at
U00000028,佐藤 一郎,M,2007-03-09,愛知県,054-3341-4801,user28@example.com,True,2021-01-18,inactive,2026-01-22
U00000012,山田 誠,M,1988-10-22,宮城県,062-1651-6418,user12@example.com,False,2020-08-07,active,2026-01-10
U00000063,木村 美咲,F,1997-12-17,,093-5474-1340,user63@example.com,False,2020-12-24,active,2025-12-01
U00000037,吉田 真由美,F,1983-10-19,,042-5278-3075,user37@example.com,False,2021-01-02,active,2025-12-01
U00000011,渡辺 和也,M,2010-05-07,北海道,091-5221-3710,user11@example.com,False,2020-08-04,active,2025-11-20
U00000006,渡辺 翔太,M,1980-12-15,静岡県,097-6989-6071,user6@example.com,True,2020-10-09,active,
U00000027,松本 和也,M,1979-03-15,神奈川県,050-3018-8463,user27@example.com,False,2020-08-19,active,2025-12-01
U00000044,中村 花子,F,2003-09-12,,067-4654-8972,user44@example.com,False,2020-12-30,inactive,2025-12-10
U00000040,中村 菜々子,F,2003-09-21,静岡県,082-2454-7446,user40@example.com,False,2020-08-06,active,2025-11-15
U00000004,山田 悠斗,M,2003-01-23,広島県,043-7676-6057,user4@example.com,False,2020-10-26,inactive,2026-01-04
U00000002,鈴木 悠斗,M,2005-12-20,兵庫県,049-5308-9031,user2@example.com,True,2020-12-25,active,2025-11-14
U00000048,吉田 結衣,F,1982-01-28,静岡県,055-4716-2122,user48@example.com,False,2020-09-04,inactive,2025-12-15
U00000084,井上 結衣,F,2009-10-24,神奈川県,023-1782-5359,user84@example.com,False,2020-08-26,active,2025-11-11
U00000015,小林 健太,M,1972-08-28,,056-7341-3075,user15@example.com,True,2020-09-15,active,2026-01-24
U00000074,小林 美優,F,1968-04-10,,089-1231-4641,user74@example.com,False,2021-01-16,active,2026-01-12
U00000091,鈴木 さおり,F,2012-11-28,,036-4593-6505,user91@example.com,False,2020-11-09,inactive,
U00000032,加藤 次郎,M,1992-10-06,,069-4069-8463,user32@example.com,False,2020-12-29,inactive,
